"plot_ID","year","LON","LAT","ECOSUBCD","ELEV","species_richness","SLOPE","STDAGE","EcM_percentage","Rs","Le","pre","tem","clay","bulk","totaln","ph","Rs_log","Le_log","EcM_percentage_square","STDAGE_square","species_richness_log","EcM_percentage_centered","EcM_percentage_sq_centered","Mycorrhizal.type"
"ssssrissssrissssdissssx",2016,-87.911595,30.910634,"232",0,6,0,52,0,78.2487111258907,23.9982403345912,841,24.7166665395101,431.251495361328,123.432113647461,856.552856445312,52.2124557495117,6.2899950837684,4.58485671931991,0,2704,2.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrissssdissrsf",2016,-87.897924,30.967362,"232",0,2,0,76,0,34.8735813265607,111.30559261159,831,24.6166667938232,384.835754394531,126.94425201416,824.0751953125,52.4402465820312,5.1240626235205,6.79838227329289,0,5776,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrissssdisschg",2016,-87.806652,30.338356,"232",10,2,0,4,0,15.8979767558356,8.32252423274078,876,25.0166664123535,297.835113525391,122.776657104492,961.462524414062,50.0474472045898,3.99077126856983,3.05702116607495,0,16,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssdxissscc",2016,-86.5725,31.29901,"232",240,2,0,16,0,21.2876405675253,14.926558043906,731,24.2500003178914,140.124694824219,130.273284912109,256.30029296875,49.7215766906738,4.41194415129275,3.89980962369068,0,256,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssdxissrhd",2016,-86.410454,31.441514,"232",290,3,0,63,0,35.3820107444358,212.96544715445,690,24.0666666030884,150.16227722168,131.131500244141,285.381378173828,51.0493354797363,5.14494413298346,7.73447556734964,0,3969,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssdxissrzs",2016,-86.319902,31.034068,"232",260,1,0,4,0,16.3102111880268,18.7962494935659,773,24.2000001271566,81.1417465209961,124.504165649414,358.66455078125,50.0350379943848,4.02770355737532,4.23237291759758,0,16,0,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssxjissrrg",2010,-88.356011,31.039613,"232",240,2,0,70,0,13.2706753252201,29.3235148744251,801,24.233333269755,135.089477539062,127.129669189453,300.571990966797,49.4179191589355,3.73016988410003,4.87398613792178,0,4900,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssxjissrrg",2016,-88.355949808544,31.039613,"232",240,2,0,70,0,8.77252899588749,6.74299404005032,801,24.233333269755,135.089477539062,127.129669189453,300.571990966797,49.4179191589355,3.13299281118304,2.75338932250751,0,4900,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssxjissrjc",2016,-88.09729,30.857558,"232",40,1,0,9,0,34.5795846961281,48.659695166332,836,24.7000001271566,191.342178344727,129.057861328125,869.726196289062,50.024284362793,5.11184863707651,5.60465537728046,0,81,0,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrisssxjissrzc",2016,-87.975804,30.966728,"232",0,2,0,76,0,25.8736842105263,60.0107185391013,823,24.7166668574015,366.599273681641,129.270797729492,821.083862304688,53.9811820983887,4.69341359204171,5.90714829897762,0,5776,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrissrcxisssfc",2010,-88.159354,31.599857,"232",200,3,0,48,0,45.320572052584,27.3049622956627,694,24.016666730245,247.818695068359,131.513717651367,198.127227783203,49.7142448425293,5.50209416637716,4.77109125954067,0,2304,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrissrcxissrsf",2010,-88.096903,31.250119,"232",240,5,0,45,0,53.0468625893579,23.4533281979245,762,24.25,119.538414001465,131.776947021484,248.427993774414,49.4262657165527,5.72919552160469,4.55172076107942,0,2025,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssssrissssrissrcxissrsf",2016,-88.0968342019526,31.250119,"232",240,5,0,45,0,163.691176470586,20.4903554002829,762,24.25,119.538414001465,131.776947021484,248.427993774414,49.4262657165527,7.35483274735216,4.3568731026518,0,2025,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdisssrz",2010,-88.299958,31.896107,"231",70,1,13,1,0,59.259729294067,28.5322459438485,649,24.0833333333333,257.108123779297,135.876907348633,318.173217773438,52.8681907653809,5.88898013078833,4.83452140943829,0,1,0,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdisssrz",2016,-88.2999935978343,31.896107,"231",70,1,13,1,0,10.9492873182839,27.3877845444332,649,24.0833333333333,257.108123779297,135.876907348633,318.173217773438,52.8681907653809,3.45276506372398,4.77546066301058,0,1,0,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdisssgj",2010,-88.405479,31.861555,"231",130,5,0,15.0472,0,149.512838618564,55.1464662010192,650,23.9333333969116,304.290649414062,134.358108520508,243.858139038086,53,7.22412556326876,5.78519653541647,0,226.41822784,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdisssgj",2016,-88.4055130559887,31.861555,"231",130,5,0,15.0472,0,72.9945781622149,83.4358230342139,650,23.9333333969116,304.290649414062,134.358108520508,243.858139038086,53,6.18971740341456,6.38259503032579,0,226.41822784,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdissshz",2010,-88.056108,32.113977,"232",50,2,0,25,0,196.881254999555,55.387467806865,632,24.0333334604899,402.532287597656,137,361.121917724609,52.1718788146973,7.62118194902569,5.79148767805397,0,625,1,-56.8248729492608,3229.06618569964,"AM"
"ssssrisssscissscdissshz",2016,-88.056207512746,32.113977,"232",50,2,0,25,0,16.227800528934,16.4186889425858,632,24.0333334604899,402.532287597656,137,361.121917724609,52.1718788146973,4.0203955691398,4.03726702519762,0,625,1,-56.8248729492608,3229.06618569964,"AM"
