"ECOSUBCD","Rs_log_mean","Rs_log_sd","Le_log_mean","Le_log_sd","row_count"
"211",5.88170207943221,1.4198595638202,5.01975518030543,0.508842621430715,11
"212",6.16392981883118,1.7478371744,6.23343166128382,1.58598547193154,120
"221",5.00732762757967,1.3250208648356,6.12608250254115,1.85289749556896,29
"222",4.95981937815565,1.08913081400363,5.7379749971824,1.94023964299077,23
"223",4.72211419154372,1.06665407938873,5.43699410152107,0.884471983200977,14
"231",4.71568187269,1.66408682645847,4.92890121591,1.17687687485007,71
"232",5.27833330565042,1.5532303359023,5.2157449207502,1.50037617841898,172
"251",3.63400111375626,1.64689951376868,5.46563187677212,1.58748832671589,13
"255",2.88148005248663,1.30900045185749,4.11045194250557,1.49652024842898,212
"313",4.79347722378385,1.70332151257118,4.71579066575113,1.6622638827123,1943
"315",2.70930737778216,1.39348019842597,3.60706534917309,1.50227925615742,2644
"321",3.31674719882475,1.55607417710631,3.73753015764068,1.52124415209514,2412
"322",4.50526538647474,1.8707905898183,4.28325681258019,1.6755982318748,325
"331",4.4017777361956,1.79076259658356,4.64730409376549,1.87834988601549,404
"332",2.8961049087187,1.41335970440794,4.11550701946128,1.35754967639548,47
"341",4.88580675965808,1.5231240918941,4.92119591299328,1.56596847011745,404
"342",4.45669529937391,1.72344828579891,4.68104036066694,1.71578958492422,116
"411",5.49001516773532,2.37454835380305,4.02970575048035,1.12109594554961,9
