group,mean_EcM,mean_species_richness,mean_Rs_log,se_Rs_log
0,0,1.451285047,3.757628397,1.808010131
1,0.470823077,3.366101695,4.932372546,1.848885529
10,9.486862873,3.588764045,5.006608563,1.902649128
100,100,2.376734694,4.887835223,1.822606639
11,10.49038955,3.816666667,5.023047678,1.76107317
12,11.54742056,3.964835165,4.833209082,1.635940896
13,12.51388017,3.54174397,5.011528813,1.785840078
14,13.50107067,3.821596244,4.951342187,1.696061611
15,14.52478779,3.810747664,5.02797423,1.714167827
16,15.50781742,3.834763948,5.072535054,1.798810909
17,16.47615243,4.246819338,5.283265416,1.952918617
18,17.48692633,3.901315789,4.954592204,1.818226512
19,18.49248205,4.105831533,5.227489743,1.807604116
2,1.499540305,3.215517241,4.895831109,1.949939419
20,19.50418691,4.17551963,5.176171462,1.818402406
21,20.47900119,3.989316239,5.043027195,1.712970344
22,21.52776436,4.005813953,5.090166126,1.76001763
23,22.49749887,4.259079903,5.063260273,1.707549703
24,23.45514941,4.129666012,5.119681605,1.774585674
25,24.49096457,4.335012594,5.294583643,1.802176437
26,25.52771997,4.298165138,5.174912022,1.85222838
27,26.4820036,4.475583864,5.158674495,1.761321239
28,27.48799885,4.6,5.049727037,1.562889195
29,28.50446889,4.543269231,5.174011378,1.946737593
3,2.513244007,3.306291391,4.980711763,1.802124291
30,29.48627173,4.622559653,4.992916515,1.653760538
31,30.49647979,4.668122271,5.280884996,1.869672323
32,31.52178438,5.099773243,5.184045643,1.954429908
33,32.51372254,4.648717949,5.211629929,1.850526242
34,33.48198129,4.455847255,5.066742747,1.538154648
35,34.50156624,4.660633484,5.111323261,1.747026704
36,35.4925835,4.833333333,5.242987818,1.943534065
37,36.49916472,4.75,5.021666568,1.832442661
38,37.49101607,4.670168067,5.235590373,1.695088353
39,38.49241972,4.668224299,5.109040431,1.823959682
4,3.526067849,3.266550523,4.954413111,1.820645811
40,39.48719167,4.83744856,5.071395828,1.73187224
41,40.50543215,4.934640523,5.157036518,1.734062759
42,41.51788439,4.816143498,5.361623647,1.740017915
43,42.47655633,5.008016032,5.326774384,1.71710889
44,43.5099255,5.078014184,5.361464015,1.807966697
45,44.48020564,4.810707457,5.291295702,1.768046374
46,45.52473211,5.477876106,5.343012968,1.817442428
47,46.51686499,5.066666667,5.204738587,1.739159188
48,47.4896622,5.252587992,5.285429783,2.024409784
49,48.51915219,5.034798535,5.162599883,1.953053983
5,4.470281496,3.347349177,4.97961425,1.86539813
50,49.84279184,2.278641336,5.013639305,1.772594482
51,50.50420475,4.83697479,5.338092284,1.730026685
52,51.48244612,4.859615385,5.388199516,1.896320109
53,52.5142483,5.036020583,5.318585105,1.672483266
54,53.48252195,5.259328358,5.19631944,1.833550311
55,54.48485874,5.461977186,5.330218744,1.851550665
56,55.50425807,5.220703125,5.229080714,1.86446201
57,56.50773509,5.383018868,5.16854053,1.726191629
58,57.4899691,5.471794872,5.447928178,1.87037549
59,58.50473823,5.289883268,5.192950014,1.78943258
6,5.520415774,3.45661157,4.979918801,1.890460098
60,59.49843933,5.283018868,5.184170532,1.820081564
61,60.47704545,5.193605684,5.105946275,1.582528275
62,61.47556352,5.193814433,5.333857952,1.765098414
63,62.47728013,5.448217317,5.06723745,1.60819334
64,63.50570364,5.212068966,5.198033953,1.754555542
65,64.52272919,5.797153025,5.220672447,1.68936406
66,65.51499027,5.646859083,5.238359057,1.897307804
67,66.48626071,5.582938389,5.351151959,1.78814953
68,67.50313324,5.600977199,5.289812104,1.845166514
69,68.5143147,5.401109057,5.317541898,1.957964223
7,6.520363534,3.377906977,4.740064006,1.682268021
70,69.51232237,5.774193548,5.310251143,1.7546064
71,70.50456003,5.702608696,5.280001938,1.825331522
72,71.49286702,5.830870279,5.32077935,1.748911335
73,72.47890255,5.669887279,5.316340615,1.711166573
74,73.47541276,5.708967851,5.307417268,1.808459206
75,74.48057035,5.8432,5.366698672,1.950003508
76,75.51807918,5.944620253,5.345775563,1.815922036
77,76.51113182,5.63897281,5.292803385,1.75707465
78,77.51652323,5.771952818,5.288804932,1.748823903
79,78.49559748,5.528700906,5.164470286,1.792764606
8,7.509037588,3.517509728,5.000311191,1.942698596
80,79.48395875,5.675111773,5.232173266,1.782672705
81,80.50097318,5.951547779,5.383975962,1.851709375
82,81.51978394,5.406926407,5.288734515,1.663784149
83,82.49667983,5.755617978,5.140783548,1.783150369
84,83.51758447,5.582677165,5.330587172,1.807147652
85,84.51214412,5.560853199,5.28350109,1.818321226
86,85.50685003,5.373134328,5.263548878,1.831277513
87,86.47388714,5.54822335,5.323604383,1.939666778
88,87.47607693,5.569032258,5.284867932,1.802193613
89,88.50908688,5.293849658,5.245691083,1.965941789
9,8.498741683,3.694623656,5.157803857,1.916343818
90,89.4883094,5.47228145,5.171563695,1.767578923
91,90.48492955,5.305045872,5.298819005,1.749850726
92,91.50365557,5.044955045,5.221007222,1.818048441
93,92.49904454,5.142424242,5.293496084,1.81078933
94,93.49432836,5.114953271,5.285943383,1.78949398
95,94.48355914,5.045335658,5.21832082,1.84556344
96,95.51600024,4.660347551,5.221294352,1.834169752
97,96.52381716,4.771769663,5.29967135,1.890371192
98,97.51635962,4.58287796,5.233973571,1.806688947
99,98.51657747,4.445229682,5.242333749,1.847707291
