"plot_ID","year","LON","LAT","ECOSUBCD","ELEV","species_richness","SLOPE","STDAGE","EcM_percentage","Rs","Le","pre","tem","clay","bulk","totaln","ph","Rs_log","Le_log","EcM_percentage_square","STDAGE_square","species_richness_log","EcM_percentage_centered","EcM_percentage_sq_centered","Mycorrhizal.type"
"ssssrissssrissssdisssgx",2016,-87.777051,31.191942,"232",40,1,0,10,100,13.856256795169,11.517486362597,775,24.4999996821086,173.561965942383,128.301239013672,460.13720703125,50.1845779418945,3.79246566748408,3.52575398459199,10000,100,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdisssxf",2016,-87.683474,30.868026,"232",200,2,6,43,100,25.0388161790477,47.5182212233103,868,24.3833328882853,128.870056152344,126.284187316895,698.669250488281,48.3143539428711,4.64609444897137,5.57040892681013,10000,1849,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrsg",2014,-87.528635,30.368694,"232",50,1,0,3,100,11.4275802254987,9.00353723024157,899,24.9666665395101,122.072273254395,121.434722900391,931.456481933594,50.7693939208984,3.51444804207458,3.17049190610426,10000,9,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrsz",2016,-87.791284,31.148112,"232",80,1,12,17,100,17.8466344463255,13.4613462950054,792,24.4833329518636,92.3888168334961,129.635940551758,397.058837890625,49.9832077026367,4.15758012850341,3.75075079874335,10000,289,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrcg",2016,-87.834185,30.924396,"232",100,3,5,68,100,26.1479718664956,81.192054433715,849,24.5499998728434,195.208099365234,128,721.853698730469,49.5743446350098,4.70862714493048,6.34326664508166,10000,4624,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrgr",2016,-87.834507,31.05153,"232",50,3,13.25,16,100,19.2427295785412,86.9597644749751,816,24.5166664123535,207.1396484375,128.636215209961,665.4013671875,49.712100982666,4.26624155460411,6.44227612780956,10000,256,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrhd",2014,-87.642348,30.276276,"232",30,5,0,50,100,64675.72222135,72.9631161668403,886,25.1166667938232,150.946868896484,119.135581970215,765.036071777344,49.9720993041992,15.9809366388474,6.18909544147394,10000,2500,2.32192809488736,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrjr",2010,-87.735681,31.277949,"232",30,1,0,8,100,116.597607480536,132.519622395066,755,24.4499998092651,173.201721191406,129.319534301758,430.850799560547,49.720874786377,6.86539437529959,7.05006218745855,10000,64,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdissrjr",2016,-87.7356539593853,31.277949,"232",30,1,0,8,100,15.2148110783158,26.1978192232302,755,24.4499998092651,173.201721191406,129.319534301758,430.850799560547,49.720874786377,3.92740451496603,4.71137481784183,10000,64,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrissssdisschs",2014,-87.502904,30.445753,"232",50,1,6,44,100,5.34829235505572,14.7447470302108,899,24.9166666666667,128.581207275391,124.062576293945,860.658569335938,51.8574485778809,2.41907832999016,3.8821291657515,10000,1936,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxissssj",2016,-86.364933,31.21126,"232",240,2,8,24,100,16.3531042040563,18.5138857672009,725,24.2166668574015,101.059547424316,128.114929199219,245.758285522461,50.1701850891113,4.03149261407961,4.21053582038906,10000,576,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssrg",2016,-86.213174,31.436609,"232",430,3,0,29,100,14.0394976796596,10.3055684038114,659,23.9499998092651,120.619216918945,131.730285644531,276.416656494141,51.7271919250488,3.8114194131489,3.36535217383004,10000,841,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxissscd",2016,-86.550835,31.109491,"232",250,3,0,38,100,378.474909090898,209.438776536891,776,24.2166668574015,90.3640441894531,127.113288879395,391.150268554688,49,8.56405385001217,7.71038476450954,10000,1444,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssdh",2016,-86.525304,31.066236,"232",150,3,0,63,100,29.451007393345,36.1412774195661,784,24.3333333333333,98.8711776733398,127.382835388184,430.036590576172,50.6582946777344,4.88024507823091,5.17557559429141,10000,3969,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssgr",2016,-86.264975,31.034546,"232",250,1,6,40,100,12.6377551320078,18.3380578188387,765,24.3000001907349,95.489860534668,124.957374572754,359.175933837891,49.5838241577148,3.65966831255211,4.19676894627927,10000,1600,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssgh",2016,-86.369923,31.118134,"232",170,6,6,39,100,16.6262917241874,14.8786177938688,749,24.3166669209798,108.03182220459,128.390655517578,385.598876953125,49.6760940551758,4.05539452522665,3.89516860288217,10000,1521,2.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssgz",2016,-86.415318,31.240413,"232",260,2,10,50,100,28.7474284946954,21.625328296093,725,24.1333335240682,109.049919128418,127.063995361328,248.027618408203,50.0262413024902,4.84536100524441,4.43465012948876,10000,2500,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssjd",2016,-86.657466,31.002259,"232",230,1,0,80,100,15.941759478443,22.8872472004011,815,24.2333335876465,91.6813659667969,126.794967651367,430.200805664062,47.7919692993164,3.99473896202874,4.51647204580383,10000,6400,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssjh",2016,-86.518708,31.383549,"232",220,4,0,28,100,20.0989400029153,72.5635126499019,707,24.1500002543132,139.188888549805,132.406295776367,248.648971557617,51.0962219238281,4.32904751206956,6.18117239033392,10000,784,2,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxisssxx",2016,-86.565666,31.162868,"232",240,2,0,75,100,22.5932329409792,42.4674330256088,765,24.200000445048,105.192878723145,128.205307006836,299.964416503906,49.834529876709,4.49781882043014,5.40828500147359,10000,5625,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxissrhh",2016,-86.609875,31.112279,"232",240,5,0,16.5,100,32.3830642785602,410.560410830932,785,24.1500002543132,105.819915771484,126.310363769531,364.409637451172,50.5211753845215,5.01716760339115,8.68145070896132,10000,272.25,2.32192809488736,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxissrhj",2016,-86.661735,31.027921,"232",240,2,0,58,100,16.9660590668906,171.125599074546,809,24.2333335876465,91.9047393798828,127.47395324707,382.5908203125,49.3717956542969,4.08457958463928,7.41891178183709,10000,3364,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssdxissrjh",2016,-86.697788,31.024866,"232",170,5,0,32,100,19.1204210376459,47.1762420144454,811,24.266666730245,115.724388122559,127.425750732422,547.279418945312,48.0036582946777,4.25704238715141,5.55998859521428,10000,1024,2.32192809488736,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssrd",2016,-87.325843,31.11317,"232",260,3,3,24,100,26.4073355015024,40.1406390977443,816,24.216667175293,148.098556518555,129.309967041016,385.687408447266,51.0987319946289,4.72286683589653,5.32699168158805,10000,576,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissscd",2016,-87.4724,31.155306,"232",310,3,5,116,100,11.7274858264282,24.6509682594243,804,24.1166667938232,149.158569335938,132.934478759766,395.1025390625,51.5563545227051,3.551821852114,4.62357240987331,10000,13456,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissscf",2016,-86.706789,31.093532,"232",230,1,0,91,100,24.3887420718814,25.6709318497911,795,24.2333335876465,94.2450103759766,126.762512207031,440.356323242188,49.0727272033691,4.6081434432855,4.68206376129824,10000,8281,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissscj",2016,-86.825586,31.020332,"232",220,3,0,82,100,21.0238233419276,25.7309819629945,825,24.216667175293,73.4533157348633,125.109901428223,382.555541992188,49,4.39395315309576,4.6854346101056,10000,6724,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssdj",2016,-87.436296,31.162941,"232",310,3,1.25,17,100,9.36343734610735,25.516811848815,803,24.1000000635783,176.696426391602,136.4326171875,454.224243164062,52.837776184082,3.22703824474798,4.6733761803682,10000,289,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssdj",2019,-87.4363655872008,31.162941,"232",310,3,1.25,22,100,25.101244554325,23.5628696641616,803,24.1000000635783,176.696426391602,136.4326171875,454.224243164062,52.837776184082,4.64968699164668,4.55844334704985,10000,484,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissshr",2016,-86.880661,31.025375,"232",190,2,5,11,100,7.43519428006181,10.909063594883,828,24.216667175293,90.2126922607422,126.735885620117,387.164459228516,48.5411071777344,2.89437044008802,3.44745536474341,10000,121,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssjs",2016,-86.77977,31.025708,"232",170,3,0,88,100,14.54705657774,21.4695630684067,818,24.2333335876465,89.102653503418,128.351486206055,413.580047607422,48.3595542907715,3.86265536552752,4.42422092579261,10000,7744,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssjc",2016,-87.107096,31.003528,"232",200,2,0,61,100,11.005675933427,12.6239083001534,852,24.216667175293,113.38134765625,130.461639404297,504.564666748047,49.7563591003418,3.46017584855452,3.65808672567817,10000,3721,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssjj",2016,-87.274708,31.074195,"232",240,2,6,12,100,19.1679876611973,28.0866958582479,830,24.1833337148031,127.384155273438,129.01301574707,545.368591308594,49.5048713684082,4.26062697943642,4.81181500951549,10000,144,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssxd",2016,-87.128772,31.161754,"232",180,2,6,15,100,9.22753900903367,7.01479616257049,806,24.2166668574015,117.526611328125,127.895523071289,333.043670654297,48.8110809326172,3.20594593141648,2.81040118231683,10000,225,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdisssxz",2016,-86.881332,31.068731,"232",160,8,3,33,100,65.8635681221051,34.9973408675425,817,24.2999998728434,108.285385131836,129.581604003906,496.403350830078,48.2954063415527,6.04140876613776,5.12917340371784,10000,1089,3,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissrsh",2016,-86.777953,31.058329,"232",210,1,0,70,100,19.2614025186074,29.3527301071077,813,24.216667175293,89.3461380004883,126.712448120117,463.541320800781,49.4927101135254,4.26764085170169,4.87542279000495,10000,4900,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissrcj",2016,-86.779721,31.083626,"232",240,4,0,23,100,15.4471241928218,37.6227208719657,809,24.1500002543132,54.9557647705078,127.389709472656,436.356414794922,49,3.9492663699792,5.23353228310377,10000,529,2,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissrdr",2016,-86.975961,31.033431,"232",200,1,5,36,100,20.0260931607378,21.699744872602,835,24.266666730245,95.9416351318359,129.444854736328,471.240509033203,49.0633926391602,4.323809091805,4.4396061756587,10000,1296,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssgdissrfc",2016,-86.779011,31.031234,"232",230,1,5,76,100,16.25825445445,30.2338220388581,818,24.2333335876465,102.171318054199,126.787712097168,413.733032226562,48.965576171875,4.02310046760841,4.91809146511864,10000,5776,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjissssj",2016,-88.152723,31.033012,"232",120,2,7,11,100,31.9777233267996,28.3447389976915,808,24.3833335240682,141.097213745117,129.341369628906,350.528106689453,49.8376884460449,4.99899532382269,4.82500907956879,10000,121,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjisssrd",2016,-88.109823,30.91184,"232",170,2,9,60,100,20.2768945810605,28.9460543973642,833,24.483333269755,171.450881958008,128.39176940918,550.569580078125,49.8426399230957,4.34176481450884,4.85529480443888,10000,3600,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjissscr",2016,-88.054702,30.904072,"232",30,2,4,30,100,410.858857615922,371.912701386363,829,24.7166668574015,173.261825561523,129.328308105469,648.312622070312,49.7291259765625,8.68249905962014,8.53882020880345,10000,900,1,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjisssfh",2016,-88.152851,30.767229,"232",190,3,5,12,100,305.31402229256,24.2191572972382,850,24.6333335240682,155.978149414062,129.617202758789,627.951293945312,50,8.25415004013625,4.59807676238673,10000,144,1.58496250072116,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjisssgg",2016,-88.15033,30.862586,"232",140,4,3,42,100,7.37337223535726,44.4086731705351,838,24.4666665395101,147.845886230469,129.048751831055,631.040222167969,49.4185333251953,2.88232459143986,5.47276956241205,10000,1764,2,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjisssjr",2010,-88.278049,31.129081,"232",160,1,0,12,100,168.720835532768,60.8917646418478,784,24.266666730245,124.707534790039,129.347869873047,303.815216064453,49.2306900024414,7.398494334495,5.92817521770263,10000,144,0,43.1751270507392,1864.09159584747,"EcM"
"ssssrissssrisssxjisssjr",2016,-88.2780314159058,31.129081,"232",160,1,0,12,100,28.2915254665927,25.4760316086718,784,24.266666730245,124.707534790039,129.347869873047,303.815216064453,49.2306900024414,4.82229806319999,4.67106866194897,10000,144,0,43.1751270507392,1864.09159584747,"EcM"
