"ECOSUBCD","Rs_log_mean","Rs_log_sd","Le_log_mean","Le_log_sd","row_count"
"211",5.52816334091017,1.21917896977309,6.44906946124042,1.82520302573518,48
"212",5.84346914827122,1.55381168680435,5.96523283258762,1.6667286056619,781
"221",6.38302090255181,1.98406237415196,5.54743467194952,1.42228677069375,20
"222",5.38358331878726,1.39442827198911,5.49902804655762,1.57212569139397,38
"223",5.09606138127184,1.09199969094457,5.66115629022926,1.67946283041342,9
"231",5.18097399395357,1.68011179682237,5.52240099348522,1.92626107805903,242
"232",5.28873335253967,1.57786026512981,5.34539257323611,1.67149275033743,1274
"234",4.77190750833749,1.38931612355876,5.36965122870132,1.77004027719202,10
"255",2.84439790975875,1.23476945653332,4.42953660396767,1.45668950021703,44
"313",5.14933237358256,1.72502709208094,4.99255692938245,1.50717606349142,669
"315",2.97434136304432,1.56602689765188,4.33869221637331,1.41868850672,179
"321",3.97863496454421,1.73455620020755,4.81483080286466,1.43057740924988,14
"322",5.15057302985798,1.69421987454753,5.347849504083,1.61382989558258,10
"331",4.49726655888388,1.77637402688772,4.69447019646208,1.69620158389325,1344
"332",4.5974208860826,1.62345883427184,4.85576337115463,1.66308577135605,731
"333",5.0257585635504,1.50320683800138,4.85734034595634,1.45547949992224,136
"334",4.73478940502494,1.69433310017682,5.02685151513052,1.35607826859293,255
"341",5.15137943729535,1.49309744185043,5.22367624354771,1.5688179775088,742
"342",4.1286655033621,1.09845110332786,4.44286278645086,1.4062613665127,20
"411",4.43855282934929,0.915349605202614,4.26341180758653,1.69926716556947,10
