"Ecoregions","Recent_EcM_percentage","Initial_EcM_percentage","p_value","mean_diff","trend"
"Northeastern Mixed Forest",59.701,58.833,"p < 0.001",0.868,"Significant Increase"
"Laurentian Mixed Forest",57.107,57.871,"p < 0.001",-0.763,"Significant Decrease"
"Eastern Broadleaf Forest",59.398,60.189,"p < 0.001",-0.791,"Significant Decrease"
"Midwest Broadleaf Forest",52.741,53.243,"p < 0.001",-0.502,"Significant Decrease"
"Central Interior Broadleaf Forest",66.447,67.876,"p < 0.001",-1.429,"Significant Decrease"
"Southeastern Mixed Forest",69.131,68.694,"p > 0.05",0.437,"No Significant Change"
"Outer Coastal Plain Mixed Forest",64.342,63.177,"p < 0.001",1.165,"Significant Increase"
"Lower Mississippi Riverine Forest",44.238,43.662,"p > 0.05",0.576,"No Significant Change"
"Prairie Parkland (Temperate)",47.186,47.648,"p > 0.05",-0.462,"No Significant Change"
"Prairie Parkland (Subtropical)",54.595,56.056,"p < 0.001",-1.46,"Significant Decrease"
"Colorado Plateau Semidesert",48.264,49.049,"p < 0.001",-0.785,"Significant Decrease"
"Southwest Plateau and Plains Dry Steppe and Shrub",15.833,17.058,"p < 0.001",-1.225,"Significant Decrease"
"Chihuahuan Semidesert",4.063,4.02,"p > 0.05",0.043,"No Significant Change"
"American Semidesert and Desert",34.346,35.138,"p > 0.05",-0.792,"No Significant Change"
"Great Plains, Palouse Dry Steppe",76.217,77.057,"p < 0.001",-0.84,"Significant Decrease"
"Great Plains Steppe",44.883,46.52,"p < 0.001",-1.637,"Significant Decrease"
"Black Hills Coniferous Forest",96.083,96.128,"p > 0.05",-0.045,"No Significant Change"
"Intermountain Semidesert and Desert",51.74,52.045,"p < 0.05",-0.305,"Significant Decrease"
"Intermountain Semidesert",26.071,27.306,"p > 0.05",-1.235,"No Significant Change"
"Everglades",26.527,26.939,"p > 0.05",-0.412,"No Significant Change"
