plot_ID,year,LON,LAT,ECOSUBCD,ELEV,species_richness,SLOPE,STDAGE,EcM_percentage,Rs,Le,pre,tem,clay,bulk,totaln,ph,Rs_log,Le_log,EcM_percentage_square,STDAGE_square,species_richness_log,EcM_percentage_centered,EcM_percentage_sq_centered,Mycorrhizal.type
ridcirrizdzfc,2001,-116.253006,39.162984,341,9260,1,51,100,50,26.7170878,14.27425718,188,10.84999998,175.0406342,112.7364578,546.5773926,68.09690094,4.739690856,3.835343766,2500,10000,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirdizccfs,2001,-118.912119,41.494186,342,6580,1,28,131,50,4.532159787,9.659150551,135,12.8499999,217.4362793,125.6047821,250.2577515,68.32601166,2.180198726,3.271896321,2500,17161,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirdizxrhd,2001,-119.041733,41.670203,342,6390,1,18,59,50,47.97492601,75.67048357,127,12.93333332,211.4871826,133.3727417,220.4598999,71.05751038,5.584208676,6.24165876,2500,3481,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirgizffgx,2001,-116.761589,39.575049,341,8470,1,32,51,50,31.72109111,73.4922142,173,12.79999979,206.1760712,117.6875229,296.0967712,69.40183258,4.987370491,6.199519513,2500,2601,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirgizzrhc,2001,-116.592477,39.753097,341,8250,1,46,55,50,74.63563655,31.48484513,179,12.98333351,232.0429077,127.8330688,264.9561768,71.86131287,6.221792739,4.976585666,2500,3025,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirjizhsxd,2001,-114.701373,38.649628,341,7690,1,23,134,50,14.89913149,13.76724853,184,12.88333337,264.6634216,122.4916916,466.8010559,69.69125366,3.897156329,3.783168352,2500,17956,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcirjizzdrj,2001,-114.322665,38.145003,341,8590,1,30,53,50,18.79263544,12.2097661,206,12.46666678,244.1925659,111.8416672,566.8755493,66.77385712,4.232095496,3.609963658,2500,2809,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcicdizgxhx,2001,-116.255915,39.026482,341,8270,1,1,75,50,23.52667905,10.24364274,168,11.48333327,169.5890503,128.5378113,458.2940979,71.59440613,4.556225783,3.356656938,2500,5625,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcicdixrcjc,2001,-116.246657,39.121678,341,8490,1,30,138,50,25.19527595,11.67582748,172,11.30000003,195.300293,109.6965103,446.9240417,69.09772491,4.655081352,3.545452894,2500,19044,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcidrizsshr,2001,-119.913263,39.576189,261,7080,1,25,114,50,12.30031003,35.34127893,131,13.51666657,212.9370575,122.0277634,293.5180054,63.51761246,3.620622774,5.143282344,2500,12996,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcidrizcfgd,2001,-119.684999,41.205782,342,6650,1,17,109,50,36.82459945,9.068231036,141,13.2833333,234.5292816,135.247757,173.0347748,69.61741638,5.202597928,3.180821148,2500,11881,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcidrizfhxg,2001,-119.558159,41.028642,342,7940,1,25,124,50,64.54643437,56.17024284,165,11.96666678,234.0796661,117.6983871,550.4082642,66.02114868,6.012265496,5.811734135,2500,15376,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcidrixscjj,2001,-119.536927,41.055486,342,6590,1,14,124,50,22.29375373,36.4416748,135,13.21666638,254.1334229,133.0464935,173.6115723,68.96633148,4.478567647,5.187517359,2500,15376,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizsdhz,2001,-114.621018,39.411149,341,10460,1,66,34,50,6.891325071,7.414358974,255,8.516666849,238.1587067,111.1827087,599.5514526,66.58964539,2.784781413,2.890321967,2500,1156,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizsgfr,2001,-114.864263,38.969047,341,8100,1,30,183,50,70.96100492,32.07938618,187,12.13333329,340.2559814,116.0263977,557.1403809,69.04969788,6.148954536,5.003574632,2500,33489,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizcddj,2001,-114.688056,38.864471,341,7870,1,35,129,50,242.1151079,15.66030712,187,12.28333362,199.3260956,132.0075073,449.7886353,70.32730103,7.919549296,3.969040601,2500,16641,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizcgfd,2001,-114.684894,39.235021,341,8100,1,30,242,50,28.61767003,16.69665975,199,11.33333325,191.1685028,117.951355,442.856781,69.70198059,4.838834312,4.061487608,2500,58564,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizdxdc,2001,-115.495182,39.248903,341,8410,1,10,109,50,33.79348269,159.2380038,186,11.16666683,221.4806824,123.1820145,369.6229553,72.62068176,5.078673134,7.315040881,2500,11881,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizfrgx,2001,-114.624844,39.276139,341,8610,1,50,169,50,27.52093637,39.57847321,214,10.38333337,173.6019135,113.988327,506.8308411,65.96604156,4.782457652,5.306644055,2500,28561,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizfhsc,2001,-114.618682,39.59698,341,8760,1,38,40,50,14.43074058,56.7189737,206,11.30000027,175.3905182,115.8842087,393.9299927,69.92890167,3.851073435,5.825759523,2500,1600,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizgfgg,2001,-114.762098,38.740728,341,8530,1,15,187,50,24.51435289,16.16972029,201,11.53333362,225.7980347,116.0477066,482.4393921,67.02558899,4.615554774,4.015222818,2500,34969,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddizghxf,2001,-114.666242,39.859106,341,8760,1,45,201,50,15.10402613,20.00760427,202,11.7833333,216.6616516,117.6820221,539.7426758,71.37468719,3.916861261,4.322476523,2500,40401,0,-8.274784343,68.47205593,Mixed EcM and AM
ridciddixsggh,2001,-114.756864,38.697716,341,9230,1,65,142,50,11.03843498,7.202170944,224,10.23333343,218.9276428,120.2445602,553.7705078,67.14598083,3.464463738,2.848431842,2500,20164,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizrdjz,2001,-115.521712,40.421339,341,8780,1,50,6,50,25.87975811,27.48231179,220,11.25000008,191.8690033,105.656662,577.6005249,65.0125885,4.693752228,4.780431463,2500,36,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizgjsx,2001,-115.532673,40.281345,341,7560,1,57,159,50,15.43268195,28.86534352,201,12.1833334,195.4829559,114.4055939,455.5328369,67.36212921,3.947916896,4.851266489,2500,25281,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizhssd,2001,-115.524295,40.468166,341,7610,1,57,86,50,342.3867121,16.72889962,204,12.31666676,212.5652466,112.2293701,488.692688,66.07037354,8.419482902,4.064270647,2500,7396,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizhrrx,2001,-115.526049,40.506647,341,7850,1,25,8,50,31.27981537,16.75894797,217,11.63333313,200.819458,113.6712952,460.8635864,66.83681488,4.967160092,4.066859682,2500,64,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizhfsc,2001,-114.279346,40.576351,341,6880,1,33,38,50,10.83686564,21.4909915,163,13.33333333,199.3038025,117.7462997,489.2376709,70.5450058,3.437875639,4.425660139,2500,1444,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizjjdx,2001,-115.464949,40.553506,341,7620,1,40,21,50,31.40030565,29.20365106,206,10.96666662,189.3622589,104.2568054,684.2321167,64.4225235,4.972706697,4.868076842,2500,441,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizzrdc,2001,-115.39803,40.690107,341,8330,1,40,19,50,43.0242618,30.85375174,217,10.73333335,184.9679108,108.52388,615.2419434,65.82261658,5.427078534,4.947374023,2500,361,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizxdxg,2001,-115.404641,40.504089,341,8270,1,47,202,50,31.10599735,75.01178561,215,11.5999999,189.8499908,109.1752167,443.7843018,63.26525879,4.959120859,6.22904538,2500,40804,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizxzgs,2001,-115.585158,40.195686,341,8270,1,35,259,50,22.59121475,22.35277505,203,12.71666662,209.8050537,114.8442383,461.6473389,66.73866272,4.497689942,4.482382045,2500,67081,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijizxxzr,2001,-115.497346,40.535914,341,7570,1,30,60,50,83.95254198,58.81924758,197,12.11666671,189.510437,114.0160828,417.0513916,66.84763336,6.391502104,5.878216424,2500,3600,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijixsscz,2001,-116.286884,41.011997,341,6120,1,75,118,50,13.70803718,242.2415459,146,14.48333343,234.7193604,126.9200745,237.3967438,68.93054962,3.776950105,7.920302507,2500,13924,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijixsjrg,2001,-114.746747,40.545708,341,7490,1,45,132,50,40.70965365,23.88163583,183,12.41666643,205.1543274,124.9541016,505.9724731,69.87102509,5.347299042,4.577829756,2500,17424,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijixsjfs,2001,-115.347917,40.597654,341,8110,1,47,9,50,87.91000629,28.87926401,206,11.81666676,227.8230591,107.9658279,434.9377747,62.9204483,6.457955483,4.85196207,2500,81,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijixsjgs,2001,-115.16255,40.911349,341,8910,1,30,8,50,25.8477153,135.7092971,232,9.299999992,204.7883301,108.3470535,557.5761108,62.48348618,4.69196486,7.084375749,2500,64,0,-8.274784343,68.47205593,Mixed EcM and AM
ridcijixrrhh,2001,-115.096344,41.044435,341,8360,1,65,30,50,18.90514038,32.57983991,209,10.14999994,216.2837067,106.4761581,455.4624329,66.37704468,4.240706657,5.025907609,2500,900,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizrxrg,2001,-111.575375,41.176268,331,8210,1,17,67,50,81.39901241,12.55153074,218,10.66666675,224.3314056,106.676918,827.9232178,63.39982986,6.346939386,3.649791416,2500,4489,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizdshf,2001,-111.358924,41.145137,331,7180,1,34,133,50,30.37808237,24.71176992,199,11.81666676,206.0536957,118.7704239,549.411438,67.90090942,4.924958897,4.627126439,2500,17689,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizdjzf,2001,-111.381314,41.178354,331,6370,1,28,88,50,962.5576179,21.77869354,195,12.70000013,249.381546,125.9656143,384.3702393,73.42844391,9.910729092,4.444845507,2500,7744,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizfggc,2001,-111.536731,41.191525,331,8030,1,45,21,50,43.31826374,26.40370954,216,10.76666665,252.6601715,111.7681274,679.1483154,61.70176697,5.436903514,4.722668727,2500,441,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizggrd,2001,-111.416828,41.331586,331,7900,1,9,47,50,25.66705735,12.43939107,208,10.26666673,213.0773315,108.8360672,798.1315918,62.59524918,4.681846,3.63684396,2500,2209,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizhxxs,2001,-111.308496,41.141452,331,7210,1,45,63,50,21.22302373,16.4790473,198,11.74999992,240.5162201,115.2174072,462.2751465,70.20223999,4.407558312,4.042560934,2500,3969,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizzzhc,2001,-111.446897,41.258389,331,7730,1,28,0,50,84.39717979,19.34859914,212,10.79999987,211.9416351,111.1341324,644.8829346,64.0650177,6.399122886,4.274157212,2500,0,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxicxizxrdf,2001,-111.717672,40.873853,331,7330,1,53,19,50,357.6907984,20.66962505,227,11.98333327,216.0710602,104,705.4665527,63,8.482569195,4.369440313,2500,361,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxiddizfcrg,2001,-111.357058,41.55072,342,7620,1,16,21,50,74.16836335,15.64728234,196,11.11666679,264.9501953,121.3711014,379.3388672,70.04050446,6.212732029,3.967840203,2500,441,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxiddizfzzr,2001,-111.47947,41.418757,331,8450,1,12,88,50,19.122118,61.5479684,220,9.383333246,240.9073944,110.4152756,769.8995972,61,4.257170422,5.943639331,2500,7744,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxiddizhgxj,2001,-111.358546,41.733367,342,7380,1,10,16,50,60.63701783,11.60379307,193,10.98333351,265.1191406,120.8259659,388.5951538,70.66269684,5.922126897,3.536524568,2500,256,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxiddizzxgd,2001,-111.484749,41.463748,331,8860,1,15,129,50,21.08384036,147.4580788,229,9.016666651,213.732193,114.3981323,726.2674561,60.29538727,4.398065769,7.204161055,2500,16641,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxiddizxrgh,2001,-111.422603,41.371958,331,8100,1,40,19,50,184.1059298,16.95879514,212,9.76666673,187.2181549,106.0474701,753.9673462,61.24197388,7.524392284,4.08396177,2500,361,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxidgizsfhx,2001,-111.614822,40.721273,331,8190,1,10,81,50,68.75989446,46.98317308,223,11.41666635,281.4239807,103.222374,689.4396973,64.75686646,6.103495425,5.554072246,2500,6561,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxidgizdxjg,2001,-111.646388,40.697917,331,8620,1,54,16,50,20.06973837,48.55065843,230,10.41666675,283.9347839,105.3383636,689.9445801,64.42189026,4.326949904,5.601418956,2500,256,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxidizsshz,2001,-113.478197,41.935375,342,7370,1,7,108,50,13.89922256,28.91314561,213,11.94999997,226.6659698,112.7931366,657.2425537,66.48839569,3.796932284,4.85365367,2500,11664,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizrhrs,2001,-111.537733,40.966216,331,6390,1,35,109,50,21.39603666,18.82826073,211,13.5999999,254.1852722,126.2805862,442.9880371,69.57932281,4.419271676,4.234827831,2500,11881,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizrjrx,2001,-111.172007,40.785729,331,7080,1,60,0,50,17.51702959,22.64108732,198,11.78333362,243.6382751,111.533989,570.6477661,65.73358917,4.130686249,4.500871339,2500,0,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizcdsj,2001,-111.122661,41.013633,331,8440,1,13,46,50,30.89476566,20.65463587,208,10.29999995,253.2641144,110.208168,611.0108032,65.94059753,4.949290526,4.368393722,2500,2116,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizdshr,2001,-111.06168,40.880883,331,8750,1,35,55,50,50.03969147,66.18427205,214,9.600000064,229.1387482,108.721489,645.7921143,63.41203308,5.645000989,6.048416512,2500,3025,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizfcdz,2001,-111.239956,40.650194,331,8210,1,9,21,50,28.64673658,137.5775495,216,10.86666663,238.8357849,113.6872711,750.4941406,66.41592407,4.840298892,7.104101254,2500,441,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizfdhx,2001,-111.300118,40.835498,331,7960,1,19,81,50,14.30444123,49.41090536,210,11.48333327,230.6635437,111.8326416,780.4276733,64.19007111,3.838391238,5.626757585,2500,6561,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizfxsf,2001,-111.114781,40.877908,331,8400,1,6,53,50,38.87120422,170.9541028,209,10.11666663,257.4064026,107.8220062,606.0991211,62.89776993,5.280629897,7.417465237,2500,2809,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizzcjg,2001,-111.239001,40.784272,331,7700,1,15,54,50,61.16719268,52.29661662,207,11.06666668,228.7175598,108.2985535,786.62677,62.43358612,5.934686159,5.708645708,2500,2916,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifdizxsrx,2001,-111.131571,41.065204,331,7010,1,23,8,50,24.2948034,12.10077748,185,12.16666698,271.0003357,124.7028503,334.4866333,72.84703827,4.602575853,3.597027839,2500,64,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifxizdrjc,2001,-111.642671,39.931841,331,7890,1,5,20,50,27.73183124,67.56432108,214,11.7833333,267.8270874,110.8895264,569.1332397,62,4.793470981,6.078189694,2500,400,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifxizgdrd,2001,-111.940858,40.290135,341,7110,1,35,87,50,12.10754546,20.03498344,215,15.19999981,270.0096741,127.1869736,417.4269104,69.68675995,3.597834514,4.324449412,2500,7569,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifxizhdcc,2001,-111.289804,40.244365,331,8930,1,35,63,50,18.21386393,44.36710444,223,10.0333333,237.8092041,113.8508148,628.4187012,61.84429169,4.186965106,5.471418496,2500,3969,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxifxizhxjf,2001,-111.723059,39.952089,331,8940,1,55,88,50,19.65802877,19.07587379,224,11.68333324,247.7728119,113.3512192,626.1087646,64.54901123,4.297046756,4.253677238,2500,7744,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizscjx,2001,-111.348397,40.336836,331,8250,1,21,23,50,23.22573887,104.0687512,212,11.39999994,310.865387,126.5474167,558.3046265,66.76610565,4.537652588,6.701393124,2500,529,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizchfr,2001,-111.358338,40.565383,331,7120,1,54,52,50,178.618491,29.99821524,206,13.26666673,290.6077881,120.3116074,442.038208,68.35139465,7.480737629,4.906804764,2500,2704,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizczjd,2001,-111.173733,40.157664,331,7780,1,14,102,50,54.36595653,23.91230249,198,11.60000006,293.6762695,113.3416061,640.9584351,65.08540344,5.764631627,4.579681147,2500,10404,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizdgsz,2001,-111.125536,40.517663,331,8630,1,15,122,50,14.83227912,2716.98893,217,10.00000008,255.7897491,112.0848312,535.9710083,62.7918663,3.890668393,11.40779297,2500,14884,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizdzfs,2001,-111.236393,40.06858,331,8700,1,15,25,50,25.47389816,23.3312105,213,10.73333327,280.204071,110.1298141,662.0608521,63,4.670947841,4.544189256,2500,625,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizfjcx,2001,-111.185986,40.299692,331,8660,1,18,12,50,24.19698405,622.0506677,213,10.80000011,247.6523743,116.0011749,770.8188477,62.07477188,4.596755334,9.280888286,2500,144,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizgdrc,2001,-111.469344,40.611642,331,8040,1,35,74,50,302.1560922,14.58987216,221,11.33333317,256.5047302,110.1593018,564.617981,62.69717407,8.23915022,3.866895337,2500,5476,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizgfxr,2001,-111.178324,40.332663,331,9080,1,26,100,50,15.39868577,24.56918925,226,9.750000159,296.9639282,113.0403442,499.6815796,63.98234558,3.944735321,4.618778347,2500,10000,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizjrhr,2001,-111.230498,40.291934,331,8130,1,7,88,50,16.9760569,23.40351389,208,11.08333341,251.6798859,116.7874527,576.7469482,64.58170319,4.085429492,4.548653253,2500,7744,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigrizxrjd,2001,-111.586946,40.426104,331,7840,1,70,17,50,27.18427132,35.95169604,218,11.55000003,267.8781738,108.5954361,689.5760498,63.66917419,4.764700252,5.167987927,2500,289,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigjizggcf,2001,-111.538693,41.369913,331,7590,1,43,7,50,16.83139791,14.64337749,213,10.9333334,215.1108093,113.3143005,688.8468018,63.12886047,4.073083098,3.872176444,2500,49,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigjizjcgd,2001,-111.479343,41.285314,331,7140,1,45,31,50,16.95166858,13.61948339,207,11.38333337,223.2766571,112.2002563,582.9115601,67.12498474,4.083355382,3.767600075,2500,961,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigjizzgrr,2001,-111.472469,41.375053,331,8390,1,28,57,50,16.23460952,23.35024732,217,9.566666683,195.7093506,109.068924,762.9547119,62,4.021000779,4.545365926,2500,3249,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigjizzxrc,2001,-111.956924,41.411211,331,7360,1,33,75,50,56.2315323,77.53475911,228,11.74999984,256.6982422,107.2478867,727.2818604,64.53530884,5.813307455,6.276771316,2500,5625,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigizsczd,2001,-111.538017,41.69194,331,7050,1,42,13,50,135.5039011,53.90761343,201,11.84999975,187.8349457,113.458725,585.0887451,66.46514893,7.082190577,5.752417136,2500,169,0,-8.274784343,68.47205593,Mixed EcM and AM
rifxigizsggz,2001,-111.538084,41.461253,331,8100,1,28,63,50,12.98199825,41.01355896,222,10.38333329,220.697998,111.5234146,756.9875488,63.6126709,3.698440561,5.358029034,2500,3969,0,-8.274784343,68.47205593,Mixed EcM and AM
