"ECOSUBCD","AM_Rs","AM_Rs_sd","AM_Le","AM_Le_sd","row_count.x","EcM_Rs","EcM_Rs_sd","EcM_Le","EcM_Le_sd","row_count.y","Rs_chazhi","Le_chazhi"
"211",5.88170207943221,1.4198595638202,5.01975518030543,0.508842621430715,11,5.52816334091017,1.21917896977309,6.44906946124042,1.82520302573518,48,0.35353873852204,-1.429314280935
"212",6.16392981883118,1.7478371744,6.23343166128382,1.58598547193154,120,5.84346914827122,1.55381168680435,5.96523283258762,1.6667286056619,781,0.320460670559961,0.2681988286962
"221",5.00732762757967,1.3250208648356,6.12608250254115,1.85289749556896,29,6.38302090255181,1.98406237415196,5.54743467194952,1.42228677069375,20,-1.37569327497213,0.578647830591634
"222",4.95981937815565,1.08913081400363,5.7379749971824,1.94023964299077,23,5.38358331878726,1.39442827198911,5.49902804655762,1.57212569139397,38,-0.423763940631616,0.238946950624774
"223",4.72211419154372,1.06665407938873,5.43699410152107,0.884471983200977,14,5.09606138127184,1.09199969094457,5.66115629022926,1.67946283041342,9,-0.373947189728121,-0.224162188708193
"231",4.71568187269,1.66408682645847,4.92890121591,1.17687687485007,71,5.18097399395357,1.68011179682237,5.52240099348522,1.92626107805903,242,-0.465292121263576,-0.593499777575215
"232",5.27833330565042,1.5532303359023,5.2157449207502,1.50037617841898,172,5.28873335253967,1.57786026512981,5.34539257323611,1.67149275033743,1274,-0.0104000468892504,-0.129647652485913
"255",2.88148005248663,1.30900045185749,4.11045194250557,1.49652024842898,212,2.84439790975875,1.23476945653332,4.42953660396767,1.45668950021703,44,0.0370821427278849,-0.319084661462097
"313",4.79347722378385,1.70332151257118,4.71579066575113,1.6622638827123,1943,5.14933237358256,1.72502709208094,4.99255692938245,1.50717606349142,669,-0.355855149798704,-0.276766263631324
"315",2.70930737778216,1.39348019842597,3.60706534917309,1.50227925615742,2644,2.97434136304432,1.56602689765188,4.33869221637331,1.41868850672,179,-0.26503398526216,-0.731626867200218
"321",3.31674719882475,1.55607417710631,3.73753015764068,1.52124415209514,2412,3.97863496454421,1.73455620020755,4.81483080286466,1.43057740924988,14,-0.66188776571946,-1.07730064522397
"322",4.50526538647474,1.8707905898183,4.28325681258019,1.6755982318748,325,5.15057302985798,1.69421987454753,5.347849504083,1.61382989558258,10,-0.645307643383235,-1.0645926915028
"331",4.4017777361956,1.79076259658356,4.64730409376549,1.87834988601549,404,4.49726655888388,1.77637402688772,4.69447019646208,1.69620158389325,1344,-0.0954888226882771,-0.0471661026965915
"332",2.8961049087187,1.41335970440794,4.11550701946128,1.35754967639548,47,4.5974208860826,1.62345883427184,4.85576337115463,1.66308577135605,731,-1.7013159773639,-0.740256351693351
"341",4.88580675965808,1.5231240918941,4.92119591299328,1.56596847011745,404,5.15137943729535,1.49309744185043,5.22367624354771,1.5688179775088,742,-0.265572677637263,-0.30248033055443
"342",4.45669529937391,1.72344828579891,4.68104036066694,1.71578958492422,116,4.1286655033621,1.09845110332786,4.44286278645086,1.4062613665127,20,0.328029796011805,0.238177574216079
"411",5.49001516773532,2.37454835380305,4.02970575048035,1.12109594554961,9,4.43855282934929,0.915349605202614,4.26341180758653,1.69926716556947,10,1.05146233838603,-0.233706057106183
