ECOSUBCD,AM_Rs,AM_Rs_sd,AM_Le,AM_Le_sd,EcM_Rs,EcM_Rs_sd,EcM_Le,EcM_Le_sd
211,5.207394728,0.821506227,5.823613036,0.77428271,4.996578953,1.228777476,6.009928618,1.655342262
212,5.681092807,1.791655427,6.09472815,1.527395529,5.722026026,1.697513679,5.819198103,1.566070643
221,5.464271117,2.286904202,5.720983557,2.018404196,5.772918555,2.132430072,6.219002914,2.013310002
222,4.876181633,1.221335077,5.759966126,1.693764387,5.818567339,1.343998346,5.768462811,1.85282086
223,4.837951971,1.927788891,6.358351055,1.929467224,4.660646012,2.27885664,5.282943358,1.409812127
231,4.797447571,1.778987767,5.730085815,2.231091514,4.902271796,1.637972764,5.631422895,1.874078613
232,5.180878903,1.725361102,5.347617464,1.556014411,5.072080937,1.823281424,5.421751569,1.736796151
234,5.52043194,1.807162803,4.881859144,1.503235856,7.784379583,3.121817174,6.289239234,1.541766052
242,4.565479506,1.154628833,5.300712018,1.727898048,5.131739206,1.757206683,5.27056836,1.664649893
251,4.061023902,1.498988143,5.340018921,1.45426398,3.938197179,1.106966459,5.448528313,1.354936117
255,3.267139003,1.305828483,4.959062157,1.563246751,3.09695791,1.19505011,5.592309284,2.108973504
313,4.539509608,1.68456079,4.543021901,1.626077391,4.858561063,1.757921586,5.000029086,1.77028538
315,2.424248535,1.232454521,3.422561006,1.522557231,1.87464259,0.648550996,4.043532489,1.309616458
321,3.062295866,1.463121544,3.646525143,1.54440498,4.041202876,1.717261411,4.397077921,1.723263067
322,4.457021611,1.75660263,4.433680802,2.537345028,4.789024057,1.611994423,5.04215973,1.811851214
331,3.629470025,1.48136573,4.376018191,1.655517488,4.340614628,1.735782185,4.819042255,1.709791237
332,3.22382935,1.340427471,4.525900596,1.369665316,4.527398622,1.766043712,4.771889905,1.786361691
341,4.730551865,1.618388846,4.872786622,1.730176459,5.056660932,1.696802379,5.199565642,1.714505366
342,4.500953897,1.590521779,4.941304669,1.683905862,4.91341722,1.785391075,4.704236237,1.681957926
